Rank,Name,Year,Rating (%),Adjusted Score (%),Critics Consensus,Synopsis,Cast,Director
12,Psycho,1960,97,112584,"Infamous for its shower scene, but immortal for its contribution to the horror genre. BecausePsychowas filmed with tact, grace, and art, Hitchcock didn't just create modern horror, he validated it.","Phoenix secretary Marion Crane (Janet Leigh), on the lam after stealing $40,000 from her employer in order to run away...[More]","Anthony Perkins, Janet Leigh, Vera Miles, John Gavin",Alfred Hitchcock
13,I Lost My Body,2019,97,100926,"Beautifully animated and utterly unique,I Lost My Bodytakes audiences on a singularly strange journey whose unexpected contours lead to a wholly satisfying destination.","A severed hand escapes from a dissection lab, determined to find its body again....[More]","Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Belek Abdelmalek",Jérémy Clapin
14,Roma,2018,96,119017,"Romafinds writer-director Alfonso Cuarón in complete, enthralling command of his visual craft - and telling the most powerfully personal story of his career.",Cleo is one of two domestic workers who help Antonio and Sofía take care of their four children in 1970s...[More],"Yalitza Aparicio, Marina de Tavira, Marco Graf, Fernando Grediaga",Alfonso Cuarón
15,Tangerine,2015,96,103783,"Tangerineshatters casting conventions and its filmmaking techniques are up-to-the-minute, but it's an old-fashioned comedy at heart -- and a pretty wonderful one at that.","After hearing that her boyfriend/pimp cheated on her while she was in jail, a transgender sex worker and her best...[More]","Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan",Sean Baker
16,Atlantics,2019,96,103844,"An unpredictable supernatural drama rooted in real-world social commentary,Atlantiquesuggests a thrillingly bright future for debuting filmmaker Mati Diop.","Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a...[More]","Mama Sané, Amadou Mbow, Ibrahima Traoré, Amina Kane",Mati Diop
17,Rebel Ridge,2024,96,102976,"An intelligent and gripping vehicle for Aaron Pierre's star-making performance,Rebel Ridgelays down the law on its action-thriller contemporaries.",Terry Richmond enters the town of Shelby Springs on a simple but urgent mission-- post bail for his cousin and...[More],"Aaron Pierre, Don Johnson, AnnaSophia Robb, David Denman",Jeremy Saulnier
18,Boyz N the Hood,1991,96,101998,"Well-acted and thematically rich,Boyz N the Hoodobserves Black America with far more depth and compassion than many of the like-minded films its success inspired.","Tre is sent to live with his father, Furious Styles, in tough South Central Los Angeles. Although his hard-nosed father...[More]","Laurence Fishburne, Ice Cube, Cuba Gooding Jr., Nia Long",John Singleton
19,To All the Boys I've Loved Before,2018,96,99119,"To All the Boys I've Loved Beforeplays by the teen rom-com rules, but relatable characters and a thoroughly charming cast more than make up for a lack of surprises.",A teenage girl's love letters are exposed and wreak havoc on her life....[More],"Lana Condor, John Corbett, Noah Centineo, Emilija Baranac",Susan Johnson
20,Outside In,2017,96,97770,"Brilliantly brought to life by tenderly empathetic performances from Jay Duplass and Edie Falco,Outside Intells a sobering -- yet thoroughly absorbing -- story.",An ex-convict tries to readjust to life in his small town and forms an intense relationship with his former high...[More],"Jay Duplass, Edie Falco, Kaitlyn Dever, Ben Schwartz",Lynn Shelton
21,The Irishman,2019,95,120029,"An epic gangster drama that earns its extended runtime,The Irishmanfinds Martin Scorsese revisiting familiar themes to poignant, funny, and profound effect.","In the 1950s, truck driver Frank Sheeran gets involved with Russell Bufalino and his Pennsylvania crime family. As Sheeran climbs...[More]","Robert De Niro, Al Pacino, Joe Pesci, Anna Paquin",Martin Scorsese
22,Marriage Story,2019,95,116726,"Observing a splintering union with compassion and expansive grace, the powerfully actedMarriage Storyranks among writer-director Noah Baumbach's best works.",A stage director and his actor wife struggle through a grueling divorce that pushes them to their limits....[More],"Scarlett Johansson, Adam Driver, Azhy Robertson, Laura Dern",Noah Baumbach
23,Spider-Man: Across the Spider-Verse,2023,95,117459,"Just as visually dazzling and action-packed as its predecessor,Spider-Man: Across the Spider-Versethrills from start to cliffhanger conclusion.","Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, an epic adventure that will transport Brooklyn's full-time,...[More]","Shameik Moore, Hailee Steinfeld, Oscar Isaac, Jake Johnson","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson"
24,Call Me by Your Name,2017,95,115393,"Call Me by Your Nameoffers a melancholy, powerfully affecting portrait of first love, empathetically acted by Timothée Chalamet and Armie Hammer.","It's the summer of 1983, and precocious 17-year-old Elio Perlman is spending the days with his family at their 17th-century...[More]","Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar",Luca Guadagnino
25,Hit Man,2023,95,111745,"A deceptively dark thriller that's also loaded with laughs,Hit Manis an outstanding showcase for leading man Glen Powell -- and one of the most purely entertaining films of Richard Linklater's career.","Oscar-nominated director Richard Linklater's sunlit neo-noir stars Glen Powell as strait-laced professor Gary Johnson, who moonlights as a fake hit...[More]","Glen Powell, Adria Arjona, Austin Amelio, Retta",Richard Linklater
26,Wallace & Gromit: The Curse of the Were-Rabbit,2005,95,101677,The Curse of the Were-Rabbitis a subtly touching and wonderfully eccentric adventure featuring Wallace and Gromit.,"The plucky characters from a series of animated shorts, Wallace (Peter Sallis) and his dog, Gromit, make their feature debut...[More]","Peter Sallis, Ralph Fiennes, Helena Bonham Carter, Peter Kay","Nick Park, Steve Box"
27,They Cloned Tyrone,2023,95,102000,"They Cloned Tyroneis provocative, clever sci-fi with an exceptional cast.","A series of eerie events thrusts an unlikely trio (John Boyega, Jamie Foxx and Teyonah Parris) onto the trail of...[More]","John Boyega, Jamie Foxx, Teyonah Parris, Kiefer Sutherland",Juel Taylor
28,The Wonderful Story of Henry Sugar,2023,95,99775,"WithThe Wonderful Story of Henry Sugar, Wes Anderson returns to the world of Roald Dahl -- and proves his distinctive style is a comfortable fit for one of the author's sweetest stories.","The Wonderful Story of Henry Sugar:
A rich man learns about a guru who can see without using his eyes. 
He...[More]","Benedict Cumberbatch, Ralph Fiennes, Ben Kingsley, Dev Patel",Wes Anderson
29,Klaus,2019,95,98310,"Beautiful hand-drawn animation and a humorous, heartwarming narrative makeKlausan instant candidate for holiday classic status.",A desperate postman accidentally brings about the genesis of Santa Claus....[More],"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso",Sergio Pablos
30,Midnight Run,1988,95,99731,"Enlivened by the antagonistic chemistry between Robert De Niro and Charles Grodin,Midnight Runis an uncommonly entertaining odd couple comedy.",When Eddie Moscone (Joe Pantoliano) hires tight-lipped bounty hunter Jack Walsh (Robert De Niro) to locate a mob accountant named...[More],"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton",Martin Brest
31,The Power of the Dog,2021,94,112755,"Brought to life by a stellar ensemble led by Benedict Cumberbatch,The Power of the Dogreaffirms writer-director Jane Campion as one of her generation's finest filmmakers.","Severe, pale-eyed, handsome, Phil Burbank is brutally beguiling. All of Phil's romance, power and fragility is trapped in the past...[More]","Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee",Jane Campion
32,The Lost Daughter,2021,94,105862,"A strikingly assured debut for writer-director Maggie Gyllenhaal,The Lost Daughterunites a brilliant cast in service of a daringly ambitious story.","Alone on a seaside vacation, Leda becomes consumed with a young mother and daughter as she watches them on the...[More]","Olivia Colman, Dakota Johnson, Peter Sarsgaard, Jessie Buckley",Maggie Gyllenhaal
33,Emily the Criminal,2022,94,105114,"A taut thriller that contains a wealth of social commentary,Emily the Criminalis stolen by Aubrey Plaza's terrific work in the title role.",Emily (Aubrey Plaza) is saddled with student debt and locked out of the job market due to a minor criminal...[More],"Aubrey Plaza, Theo Rossi, Megalyn Echikunwoke, Jonathan Avigdori",John Patton Ford
34,Hustle,2022,94,103114,"Hustledoesn't have any fancy moves, but it doesn't need them -- Adam Sandler's everyman charm makes this easy layup fun to watch.","Stanley Sugerman's (Adam Sandler) love for basketball is unparalleled, but the travel weary Philadelphia 76ers scout who has higher ambitions...[More]","Adam Sandler, Juancho Hernangomez, Queen Latifah, Ben Foster",Jeremiah Zagar
35,The Sea Beast,2022,94,99527,"An original animated tale that's often as daring as its characters,The Sea Beastsends audiences on a voyage well worth taking.","In an era when terrifying beasts roamed the seas, monster hunters were celebrated heroes -- and none were more beloved...[More]","Karl Urban, Zaris-Angel Hator, Jared Harris, Dan Stevens",Chris Williams
36,Private Life,2018,94,99239,Private Lifeuses one couple's bumpy journey to take an affecting look at an easily identifiable - and too rarely dramatized - rite of adult passage.,A couple coping with infertility struggle to keep their marriage going as they navigate through the world of adoption and...[More],"Paul Giamatti, Kathryn Hahn, Kayli Carter, Molly Shannon",Tamara Jenkins
37,The Birds,1963,94,102468,"Proving once again that build-up is the key to suspense, Alfred Hitchcock successfully turned birds into some of the most terrifying villains in horror history.",Melanie Daniels (Tippi Hedren) meets Mitch Brenner (Rod Taylor) in a San Francisco pet store and decides to follow him...[More],"Rod Taylor, Tippi Hedren, Suzanne Pleshette, Jessica Tandy",Alfred Hitchcock
38,Uncorked,2020,94,95968,"Like a good wine, once you letUncorkedbreathe, its heartfelt tenderness will yield a sweet time.",A young man upsets his father when he pursues his dream of becoming a master sommelier instead of joining the...[More],"Mamoudou Athie, Courtney B. Vance, Niecy Nash, Sasha Compère",Prentice Penny
39,Captain Phillips,2013,93,106233,"Smart, powerfully acted, and incredibly intense,Captain Phillipsoffers filmgoers a Hollywood biopic done right -- and offers Tom Hanks a showcase for yet another brilliant performance.","In April 2009, the U.S. containership Maersk Alabama sails toward its destination on a day that seems like any other....[More]","Tom Hanks, Catherine Keener, Barkhad Abdi, Barkhad Abdirahman",Paul Greengrass
40,Pearl,2022,93,104584,Pearlfinds Ti West squeezing fresh gore out of the world he created withX-- and once again benefiting from a brilliant Mia Goth performance.,"Filmmaker Ti West returns with another chapter from the twisted world of X, in this astonishing follow-up to the year's...[More]","Mia Goth, David Corenswet, Tandi Wright, Matthew Sunderland",Ti West
41,Enola Holmes 2,2022,93,98176,"Building on its predecessor with boisterously entertaining flair,Enola Holmes 2solves the mystery of how to make a satisfying sequel -- and makes it look positively elementary.","Fresh off the triumph of solving her first case, Enola Holmes (Millie Bobby Brown) follows in the footsteps of her...[More]","Millie Bobby Brown, Henry Cavill, Helena Bonham Carter, David Thewlis",Harry Bradbeer
42,Cam,2018,93,98002,"Smart and suspenseful,CAMis a techno-thriller that's far more than the sum of its salacious parts -- and an outstanding showcase for Madeline Brewer in the leading role.","A camgirl has her principles, until a mysterious woman who looks just like her takes over her channel....[More]","Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid",Daniel Goldhaber
43,Roald Dahl's Matilda the Musical,2022,93,97704,"Roald Dahl's Matilda the Musicalbrings the classic story back to the screen with a delightful Emma Thompson, dazzling dancing, and a suitably irascible take on the source material.",An extraordinary girl with a sharp mind and vivid imagination takes a daring stand to change her story -- with...[More],"Alisha Weir, Emma Thompson, Lashana Lynch, Stephen Graham",Matthew Warchus
44,Da 5 Bloods,2020,92,110487,"Fierce energy and ambition course throughDa 5 Bloods, coming together to fuel one of Spike Lee's most urgent and impactful films.",Four African American vets battle the forces of man and nature when they return to Vietnam seeking the remains of...[More],"Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis",Spike Lee
45,The Meyerowitz Stories (New and Selected),2017,92,102080,The Meyerowitz Stories (New and Selected)observes the family dynamic through writer-director Noah Baumbach's bittersweet lens and the impressive efforts of a remarkable cast.,The adult children of Harold Meyerowitz reunite in New York in preparation for their father's career retrospective....[More],"Adam Sandler, Ben Stiller, Dustin Hoffman, Emma Thompson",Noah Baumbach
46,The White Tiger,2021,92,100662,"Well-acted and beautifully made,The White Tigerdistills the strengths of its source material into a grimly compelling drama.",Balram Halwai (Adarsh Gourav) narrates his epic and darkly humorous rise from poor villager to successful entrepreneur in modern India....[More],"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha",Ramin Bahrani
47,El Camino: A Breaking Bad Movie,2019,92,98445,"Entertaining if not essential,El Caminoadds a satisfying belated coda to theBreaking Badstory -- led by a career-best performance from Aaron Paul.",Jesse Pinkman flees from the police and tries to escape his inner turmoil....[More],"Aaron Paul, Matt L. Jones, Charles Baker, Jonathan Banks",Vince Gilligan
48,Nimona,2023,92,97136,"Tapping a rich emotional vein with its splendid animation and thoughtful allegory,Nimonais a deeply lovable animated adventure.","When Ballister Boldheart (Riz Ahmed), a knight in a futuristic medieval world, is framed for a crime he didn't commit,...[More]","Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Jordan Gubian","Nick Bruno, Troy Quane"
49,Orion and the Dark,2024,92,96317,"An uncommonly ambitious animated film,Orion and the Darkbenefits from a Charlie Kaufman screenplay that isn't afraid to tangle with existential ideas.","The thing Orion fears the most is the dark. When the embodiment of his worst fear pays a visit, Dark...[More]","Jacob Tremblay, Paul Walter Hauser, Werner Herzog, Angela Bassett",Sean Charmatz
50,The Willoughbys,2020,92,94958,"An appealing animated adventure whose silliness is anchored in genuine emotion,The Willoughbysoffers fanciful fun the entire family can enjoy.","Neglected by their parents, four old-fashioned siblings venture out into the modern world with their new nanny....[More]","Will Forte, Maya Rudolph, Alessia Cara, Terry Crews",Kris Pearn
51,Set It Up,2018,92,94648,"Set It Upfollows the long-established outlines of the rom-com template -- and in the process, proves there's still substantial pleasure to be wrought from familiar formulas.",Two overworked and underpaid assistants come up with a plan to get their bosses off their backs by setting them...[More],"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs",Claire Scanlon
52,1922,2017,92,93829,"Thanks to director Zak Hilditch's patient storytelling and strong work from lead Thomas Jane,1922ranks among the more satisfying Stephen King adaptations.",A rancher conspires to murder his wife for financial gain and convinces his teenage son to participate....[More],"Thomas Jane, Neal McDonough, Molly Parker, Brian d'Arcy James",Zak Hilditch
53,Glass Onion: A Knives Out Mystery,2022,91,115526,Glass Onion: A Knives Out Mysterybrings back Benoit Blanc for another wildly entertaining mystery rounded out by an outstanding ensemble cast.,Benoit Blanc returns to peel back the layers in a new Rian Johnson whodunit. This fresh adventure finds the intrepid...[More],"Daniel Craig, Edward Norton, Dave Bautista, Kate Hudson",Rian Johnson
54,A Quiet Place Part II,2021,91,109867,"A nerve-wracking continuation of its predecessor,A Quiet Place Part IIexpands the terrifying world of the franchise without losing track of its heart.","Following the deadly events at home, the Abbott family must now face the terrors of the outside world as they...[More]","Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe",John Krasinski
55,Phantom Thread,2017,91,111040,"Phantom Thread's finely woven narrative is filled out nicely by humor, intoxicating romantic tension, and yet another impressively committed performance from Daniel Day-Lewis.",Renowned dressmaker Reynolds Woodcock and his sister Cyril are at the center of British fashion in 1950s London -- dressing...[More],"Daniel Day-Lewis, Vicky Krieps, Lesley Manville, Camilla Rutherford",Paul Thomas Anderson
56,May December,2023,91,109489,"Swaddling its difficult fact-based story in a blanket of campy humor,May Decemberis a seductively discomfiting watch.","Twenty years after their notorious tabloid romance gripped the nation, Gracie Atherton-Yu and her husband Joe (twenty-three years her junior)...[More]","Natalie Portman, Julianne Moore, Cory Michael Smith, Charles Melton",Todd Haynes
57,Woman of the Hour,2023,91,100406,"Deftly directed by star Anna Kendrick,Woman of the Houruses an incredible true story as the foundation for a powerful examination of the intersection between systemic misogyny and violence.",An aspiring actress crosses paths with a prolific serial killer in '70s LA when they're cast on an episode of...[More],"Anna Kendrick, Tony Hale, Kelley Jakle, Max Lloyd-Jones",Anna Kendrick
58,Beasts of No Nation,2015,91,97891,"Beasts of No Nationfinds writer-director Cary Fukunaga working with a talented cast to offer a sobering, uncompromising, yet still somehow hopeful picture of war's human cost.","As civil war rages in Africa, a fierce warlord (Idris Elba) trains a young orphan (Abraham Attah) to join his...[More]","Idris Elba, Abraham Attah, Opeyemi Fagbohungbe, Kurt Egyiawan",Cary Joji Fukunaga
59,The Squid and the Whale,2005,91,96365,"This is a piercingly honest, acidly witty look at divorce and its impact on a family.","A pair of brothers living in Brooklyn are caught in the middle of, and deeply affected by, the divorce of...[More]","Jeff Daniels, Laura Linney, Jesse Eisenberg, Owen Kline",Noah Baumbach
60,Apollo 10 1/2: A Space Age Childhood,2022,91,98468,"The sweetly nostalgicApollo 10 1/2: A Space Age Childhoodfinds Richard Linklater reusing visual and thematic ingredients in a deeply personal, freshly inspired way.",Apollo 10 ½: A Space Age Childhood tells the story of the first moon landing in the summer of 1969...[More],"Jack Black, Bill Wise, Lee Eddy, Milo Coy",Richard Linklater
61,High Flying Bird,2019,91,97725,High Flying Birdtakes a thoughtful and engrossing look at professional sports that sees Steven Soderbergh continuing to test the limits of new filmmaking technology.,A sports agent pitches a controversial business opportunity to a rookie basketball player during a lockout....[More],"André Holland, Zazie Beetz, Bill Duke, Sonja Sohn",Steven Soderbergh
62,Happy as Lazzaro,2018,91,95413,Happy as Lazzarouses a friendship's ups and downs as a satisfyingly expansive canvas for a picture rich with thematic and cinematic depth.,"Lazzaro, a good-hearted young peasant, and Tancredi, a young nobleman cursed by his imagination, form a life-altering bond when Tancredi...[More]","Adriano Tardiolo, Alba Rohrwacher, Agnese Graziani, Tommaso Ragno",Alice Rohrwacher
63,Zero Dark Thirty,2012,91,105888,"Gripping, suspenseful, and brilliantly crafted,Zero Dark Thirtydramatizes the hunt for Osama bin Laden with intelligence and an eye for detail.","Following the terrorist attacks of Sept. 11, 2001, Osama bin Laden becomes one of the most-wanted men on the planet....[More]","Jessica Chastain, Jason Clarke, Joel Edgerton, Jennifer Ehle",Kathryn Bigelow
64,Gerald's Game,2017,91,94774,Carla Gugino carriesGerald's Game's small-scale suspense with a career-defining performance.,"A woman accidentally kills her husband during a kinky game. Handcuffed to her bed with no hope of rescue, she...[More]","Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken",Mike Flanagan
65,You Are So Not Invited to My Bat Mitzvah,2023,91,94632,"A coming-of-age comedy that sidesteps simple nostalgia,You Are So Not Invited to My Bat Mitzvahfinds fresh humor in adolescent anxiety -- and suggests a bright future for star Sunny Sandler.","Stacy and Lydia are BFFs who've always dreamed about having epic bat mitzvahs. However, things start to go comically awry...[More]","Idina Menzel, Jackie Sandler, Adam Sandler, Sadie Sandler",Sammi Cohen
66,All Quiet on the Western Front,2022,90,99232,"Both timely and timeless,All Quiet on the Western Frontretains the power of its classic source material by focusing on the futility of war.",All Quiet on the Western Front tells the gripping story of a young German soldier on the Western Front of...[More],"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus",Edward Berger
67,Society of the Snow,2023,90,98384,"Society of the Snowbrings masterful technical skill to bear on its tale of real-life tragedy, but none of that spectacle comes at the expense of its simple, powerful message.","In 1972, Uruguayan Air Force Flight 571, which had been chartered to fly a rugby team to Chile, crashed in...[More]","Enzo Vogrincic, Agustín Pardella, Esteban Bigliardi, Simón Hempe",J. A. Bayona
68,Oxygen,2021,90,94753,"Oxygengets the white-knuckle maximum out of its claustrophobic setting, with director Alexandre Aja and star Mélanie Laurent making this a must-watch thriller for sci-fi fans.",Oxygen is a French survival thriller directed by Alexandre Aja. The film tells the story of a young woman (Mélanie...[More],"Mélanie Laurent, Mathieu Amalric, Malik Zidi, Marc Saez",Alexandre Aja
69,The Kindergarten Teacher,2018,90,95004,"Elevated by a bravura performance from Maggie Gyllenhaal,The Kindergarten Teacheris one American remake that retains its impact the second time around.",A teacher sees such great promise in her 5-year-old student that she goes to unreasonable lengths to protect his talent....[More],"Maggie Gyllenhaal, Gael García Bernal, Michael Chernus, Anna Baryshnikov",Sara Colangelo
70,On Body and Soul,2017,90,93597,"Tender performances and a strong sense of style combine to create an eccentric, dreamy portrait of love and loneliness inOn Body and Soul.","When a man and woman who meet at work begin to know each other, they discover that they have the...[More]","Géza Morcsányi, Alexandra Borbély, Zoltán Schneider, Ervin Nagy",Ildikó Enyedi
71,The Trial of the Chicago 7,2020,89,109214,"An actors' showcase enlivened by its topical fact-based story,The Trial of the Chicago 7plays squarely -- and compellingly -- to Aaron Sorkin's strengths.","In 1969, seven people were charged by the federal government with conspiracy and more, arising from the protests at the...[More]","Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong",Aaron Sorkin
72,Bridesmaids,2011,89,101136,"A marriage of genuine characters, gross out gags, and pathos,Bridesmaidsis a female-driven comedy that refuses to be boxed in as Kristen Wiig emerges as a real star.","Annie (Kristen Wiig) is a single woman whose own life is a mess, but when she learns that her lifelong...[More]","Kristen Wiig, Maya Rudolph, Rose Byrne, Ellie Kemper",Paul Feig
73,The Ballad of Buster Scruggs,2018,89,101831,The Ballad of Buster Scruggsavoids anthology pitfalls with a consistent collection tied together by the Coen brothers' signature blend of dark drama and black humor.,An anthology of six short films that take place in 19th-century post-Civil War era during the settling of the Old...[More],"Tim Blake Nelson, Willie Watson, David Krumholtz, James Franco","Joel Coen, Ethan Coen"
74,Always Be My Maybe,2019,89,93598,"Carried by the infectious charms of Ali Wong and Randall Park,Always Be My Maybetakes familiar rom-com beats and cleverly layers in smart social commentary to find its own sweet groove.",Childhood sweethearts have a falling out and don't speak for 15 years. They reconnect as adults when Sasha runs into...[More],"Ali Wong, Randall Park, Keanu Reeves, Michelle Buteau",Nahnatchka Khan
75,Compliance,2012,89,95345,"Anchored by smart, sensitive direction and strong performances,Complicanceis a ripped-from-the-headlines thriller that's equal parts gripping and disturbing.","A fast-food worker (Dreama Walker) who's accused of theft is put through the wringer as her boss (Ann Dowd), at...[More]","Ann Dowd, Dreama Walker, Pat Healy, Bill Camp",Craig Zobel
76,Fear Street Part Three: 1666,2021,89,93375,Fear Street Part Three: 1666sends the slasher series back in time for a trilogy-concluding installment that caps things off on a screaming high note.,The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the...[More],"Kiana Madeira, Ashley Zukerman, Gillian Jacobs, Olivia Welch",Leigh Janiak
77,Mary and The Witch's Flower,2017,89,93364,"Mary and the Witch's Flowerhonors its creator's Studio Ghibli roots with a gentle, beautifully animated story whose simplicity is rounded out by its entrancing visuals.","Young Mary follows a mysterious cat into the nearby forest and discovers an old broomstick and the strange Fly-by-Night flower,...[More]","Ruby Barnhill, Louis Ashbourne Serkis, Kate Winslet, Jim Broadbent",Hiromasa Yonebayashi
78,I Am Mother,2019,89,92422,"Suspenseful, well-acted, and intelligent,I Am Motheris an ambitious sci-fi story that largely achieves its impressive aims.",A teenage girl is raised by a robot designed to repopulate Earth. Their bond is tested when a stranger arrives...[More],"Hilary Swank, Clara Rugaard, Rose Byrne, Tahlia Sturzaker",Grant Sputore
79,I Don't Feel at Home in This World Anymore,2017,89,91772,"I don't feel at home in this world anymore.transcends its unwieldy title to offer timely, intoxicatingly dark observations on gender dynamics and social norms in modern America.","After being burglarized, a depressed woman (Melanie Lynskey) and her obnoxious neighbor set out to find the thieves, but they...[More]","Melanie Lynskey, Elijah Wood, David Yow, Jane Levy",Macon Blair
80,Paddleton,2019,89,90575,"It takes its time coming together, but the quietly effectivePaddletonpulls off a tricky tonal balancing act, thanks largely to the strengths of its well-chosen leads.",An unlikely friendship between two misfit neighbors becomes an unexpected emotional journey when the younger man is diagnosed with terminal...[More],"Mark Duplass, Ray Romano, Marguerite Moreau, Christine Woods",Alex Lehmann
81,The Breaker Upperers,2018,89,90648,"The Breaker Upperersbrings the laughs early and often, thanks to the dry wit -- and effervescent chemistry -- of writer-director-star duo Jackie van Beek and Madeleine Sami.",Two cynical women create an agency that helps break up couples in an attempt to avoid moving on with their...[More],"Madeleine Sami, Jackie van Beek, James Rolleston, Celia Pacquola","Madeleine Sami, Jackie van Beek"
82,1917,2019,88,113421,"Hard-hitting, immersive, and an impressive technical achievement,1917captures the trench warfare of World War I with raw, startling immediacy.","During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders....[More]","George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott",Sam Mendes
83,The Two Popes,2019,88,99651,"Led by outstanding performances from its well-matched leads,The Two Popesdraws absorbing drama from a pivotal moment in modern organized religion.","Behind the Vatican walls, Pope Benedict and the future Pope Francis must find common ground to forge a new path...[More]","Jonathan Pryce, Anthony Hopkins, Juan Minujín, Sidney Cole",Fernando Meirelles
